DateTime,open,high,low,close,close_moving_avg,std,upper_bb,lower_bb
2025-02-28 13:18:00,2213945,2214500,2213575,2213795,2213242.75,900.2842752786942,2215043.3185505574,2211442.1814494426
2025-02-28 13:19:00,2213685,2213745,2212850,2213565,2213322.0,851.7295098169473,2215025.459019634,2211618.540980366
2025-02-28 13:20:00,2213475,2213475,2212225,2213110,2213426.0,663.2765557985293,2214752.553111597,2212099.446888403
2025-02-28 13:21:00,2213075,2213610,2212920,2213210,2213482.75,585.6091632680851,2214653.968326536,2212311.531673464
2025-02-28 13:22:00,2212885,2213475,2212545,2212980,2213465.0,595.6177686352855,2214656.2355372705,2212273.7644627295
2025-02-28 13:23:00,2212910,2213320,2212585,2213210,2213484.0,580.1556052595536,2214644.311210519,2212323.688789481
2025-02-28 13:24:00,2213170,2213660,2212500,2212550,2213429.75,614.9764116129909,2214659.702823226,2212199.797176774
2025-02-28 13:25:00,2212375,2213155,2212365,2213030,2213404.0,620.652458049185,2214645.3049160982,2212162.6950839018
2025-02-28 13:26:00,2212880,2213950,2212800,2213745,2213393.25,612.3214562529697,2214617.892912506,2212168.607087494
2025-02-28 13:27:00,2213660,2214195,2213410,2213950,2213404.5,620.7463673915979,2214645.9927347833,2212163.0072652167
2025-02-28 13:28:00,2213800,2214005,2213060,2213110,2213336.0,569.273775592415,2214474.547551185,2212197.452448815
2025-02-28 13:29:00,2213055,2213285,2212200,2212280,2213223.25,541.958619024695,2214307.167238049,2212139.332761951
2025-02-28 13:30:00,2212240,2212720,2212120,2212515,2213208.5,557.5866701555503,2214323.6733403113,2212093.3266596887
2025-02-28 13:31:00,2212405,2213015,2212405,2212855,2213135.5,497.4246835328875,2214130.349367066,2212140.650632934
2025-02-28 13:32:00,2212780,2212895,2212115,2212175,2213084.5,541.3528375608271,2214167.205675122,2212001.794324878
2025-02-28 13:33:00,2211985,2212390,2211530,2212010,2213009.5,581.7032613015268,2214172.9065226032,2211846.0934773968
2025-02-28 13:34:00,2211975,2212955,2211865,2212535,2213005.25,584.9999437682301,2214175.2498875363,2211835.2501124637
2025-02-28 13:35:00,2212495,2212550,2211805,2211870,2212959.5,636.6315550146894,2214232.7631100295,2211686.2368899705
2025-02-28 13:36:00,2211820,2212270,2211600,2212270,2212938.0,652.9092787777647,2214243.8185575553,2211632.1814424447
2025-02-28 13:37:00,2212230,2212545,2211755,2211940,2212835.25,639.3715561709104,2214113.993112342,2211556.506887658
2025-02-28 13:38:00,2211835,2212260,2211245,2211935,2212742.25,627.5882722549725,2213997.42654451,2211487.07345549
2025-02-28 13:39:00,2211800,2212010,2211155,2211590,2212643.5,646.4154196297816,2213936.3308392595,2211350.6691607405
2025-02-28 13:40:00,2211430,2212295,2211365,2212210,2212598.5,643.5512084465731,2213885.602416893,2211311.397583107
2025-02-28 13:41:00,2212030,2212655,2211995,2212170,2212546.5,633.4784921355334,2213813.4569842713,2211279.5430157287
2025-02-28 13:42:00,2212095,2212810,2211935,2212095,2212502.25,632.5126896987024,2213767.2753793974,2211237.2246206026
2025-02-28 13:43:00,2211870,2212120,2211500,2211695,2212426.5,634.0079278919839,2213694.515855784,2211158.484144216
2025-02-28 13:44:00,2211575,2211770,2211275,2211445,2212371.25,669.8151257099879,2213710.88025142,2211031.61974858
2025-02-28 13:45:00,2211335,2212370,2211335,2212345,2212337.0,651.6242863219786,2213640.248572644,2211033.751427356
2025-02-28 13:46:00,2212205,2212665,2211615,2212020,2212250.75,563.6774810384958,2213378.104962077,2211123.395037923
2025-02-28 13:47:00,2211930,2212735,2211765,2212735,2212190.0,417.39480237654845,2213024.7896047533,2211355.2103952467
2025-02-28 13:48:00,2212690,2213510,2212590,2212850,2212177.0,390.4093667966209,2212957.8187335934,2211396.1812664066
2025-02-28 13:49:00,2212760,2213150,2212050,2212980,2212212.0,429.5450469586917,2213071.090093917,2211352.909906083
2025-02-28 13:50:00,2212960,2214830,2212960,2214830,2212327.75,725.4698568212375,2213778.6897136425,2210876.8102863575
2025-02-28 13:51:00,2214870,2216380,2214870,2215555,2212462.75,1020.1257339937205,2214503.0014679874,2210422.4985320126
2025-02-28 13:52:00,2215420,2215445,2213650,2213805,2212544.25,1060.2498153977447,2214664.7496307953,2210423.7503692047
2025-02-28 13:53:00,2213765,2213820,2212600,2212600,2212573.75,1052.7843721336521,2214679.3187442673,2210468.1812557327
2025-02-28 13:54:00,2212545,2212605,2211485,2212230,2212558.5,1055.5805337141328,2214669.661067428,2210447.338932572
2025-02-28 13:55:00,2212140,2212380,2211855,2211930,2212561.5,1053.6042151128586,2214668.7084302255,2210454.2915697745
2025-02-28 13:56:00,2211850,2212950,2211790,2212845,2212590.25,1053.0762892834234,2214696.4025785667,2210484.0974214333
2025-02-28 13:57:00,2212880,2214320,2212760,2213695,2212678.0,1069.0396575768434,2214816.079315154,2210539.920684846
2025-02-28 13:58:00,2213510,2213850,2213145,2213490,2212755.75,1068.7046697057956,2214893.1593394116,2210618.3406605884
2025-02-28 13:59:00,2213420,2213505,2213025,2213065,2212829.5,1034.3659385030014,2214898.231877006,2210760.768122994
2025-02-28 14:00:00,2213005,2213210,2212540,2213070,2212872.5,1025.0911384377596,2214922.6822768757,2210822.3177231243
2025-02-28 14:01:00,2212985,2213190,2212665,2212810,2212904.5,1011.9118174594832,2214928.323634919,2210880.676365081
2025-02-28 14:02:00,2212755,2213115,2212630,2212860,2212942.75,994.0023760950379,2214930.75475219,2210954.74524781
2025-02-28 14:03:00,2212815,2213520,2212720,2213210,2213018.5,950.6937909805167,2214919.887581961,2211117.112418039
2025-02-28 14:04:00,2213120,2213185,2212535,2212805,2213086.5,878.0886839269048,2214842.677367854,2211330.322632146
2025-02-28 14:05:00,2212795,2212795,2211845,2212345,2213086.5,878.0886839269048,2214842.677367854,2211330.322632146
2025-02-28 14:06:00,2212280,2213100,2212280,2213090,2213140.0,841.5243061808213,2214823.048612362,2211456.951387638
2025-02-28 14:07:00,2213060,2213320,2212780,2213175,2213162.0,836.1131880052305,2214834.2263760106,2211489.7736239894
2025-02-28 14:08:00,2213085,2213840,2213010,2213380,2213188.5,834.1006817925517,2214856.701363585,2211520.298636415
2025-02-28 14:09:00,2213140,2213690,2212990,2213690,2213224.0,839.8489839178583,2214903.6979678357,2211544.3020321643
2025-02-28 14:10:00,2213655,2213945,2213240,2213455,2213155.25,753.279627606371,2214661.8092552125,2211648.6907447875
2025-02-28 14:11:00,2213445,2213690,2213250,2213415,2213048.25,505.80127936661654,2214059.8525587334,2212036.6474412666
2025-02-28 14:12:00,2213405,2213405,2212690,2212970,2213006.5,473.47844946062514,2213953.456898921,2212059.543101079
2025-02-28 14:13:00,2212970,2213365,2212645,2213245,2213038.75,466.2444440176389,2213971.238888035,2212106.261111965
2025-02-28 14:14:00,2213045,2213215,2212640,2213215,2213088.0,426.66207508303114,2213941.324150166,2212234.675849834
2025-02-28 14:15:00,2213285,2213880,2213145,2213850,2213184.0,363.76177860972274,2213911.5235572197,2212456.4764427803
2025-02-28 14:16:00,2213815,2214825,2213580,2214805,2213282.0,504.4418489238461,2214290.883697848,2212273.116302152
2025-02-28 14:17:00,2215025,2215580,2214230,2214260,2213310.25,543.1256397231243,2214396.5012794463,2212223.9987205537
2025-02-28 14:18:00,2214170,2214675,2213930,2214345,2213353.0,589.6729691317556,2214532.3459382635,2212173.6540617365
2025-02-28 14:19:00,2214250,2214375,2213280,2213350,2213367.25,585.7776545112176,2214538.8053090223,2212195.6946909777
2025-02-28 14:20:00,2213260,2213480,2212410,2212480,2213337.75,615.6307740832585,2214569.0115481666,2212106.4884518334
2025-02-28 14:21:00,2212430,2213350,2212355,2213295,2213362.0,603.174496876781,2214568.3489937535,2212155.6510062465
2025-02-28 14:22:00,2213225,2214125,2213050,2213760,2213407.0,597.2952192557054,2214601.590438511,2212212.409561489
2025-02-28 14:23:00,2213780,2214265,2213490,2213895,2213441.25,604.994290967789,2214651.2385819354,2212231.2614180646
2025-02-28 14:24:00,2213885,2213955,2213510,2213815,2213491.75,591.083472151769,2214673.9169443035,2212309.5830556965
2025-02-28 14:25:00,2213795,2213960,2213635,2213770,2213563.0,528.1083421524428,2214619.216684305,2212506.783315695
2025-02-28 14:26:00,2213740,2214025,2213510,2213840,2213600.5,519.3084977042435,2214639.1169954087,2212561.8830045913
2025-02-28 14:27:00,2213810,2214380,2213730,2214335,2213658.5,533.8590884438939,2214726.218176888,2212590.781823112
2025-02-28 14:28:00,2214310,2214430,2213815,2213970,2213688.0,533.9608698441098,2214755.921739688,2212620.078260312
2025-02-28 14:29:00,2213975,2214235,2213870,2214180,2213712.5,545.1810418745424,2214802.862083749,2212622.137916251
2025-02-28 14:30:00,2214125,2214145,2213750,2214045,2213742.0,546.4753088258021,2214834.9506176515,2212649.0493823485
2025-02-28 14:31:00,2214040,2214160,2213735,2213810,2213761.75,541.1471124997145,2214844.0442249994,2212679.4557750006
2025-02-28 14:32:00,2213725,2213990,2213265,2213830,2213804.75,508.0806893008906,2214820.9113786016,2212788.5886213984
2025-02-28 14:33:00,2213620,2213985,2213070,2213215,2213803.25,509.86137176630257,2214822.9727435326,2212783.5272564674
2025-02-28 14:34:00,2213205,2213385,2212780,2213350,2213810.0,502.50425502094157,2214815.008510042,2212804.991489958
2025-02-28 14:35:00,2213325,2213515,2212890,2213415,2213788.25,510.0394076606103,2214808.3288153214,2212768.1711846786
2025-02-28 14:36:00,2213330,2213750,2212750,2212980,2213697.0,480.98692399169005,2214658.9738479834,2212735.0261520166
2025-02-28 14:37:00,2213070,2213400,2212510,2213200,2213644.0,474.03530847666207,2214592.0706169535,2212695.9293830465
2025-02-28 14:38:00,2213180,2213360,2212715,2213050,2213579.25,461.52286537234755,2214502.2957307445,2212656.2042692555
2025-02-28 14:39:00,2213020,2213740,2212595,2213525,2213588.0,458.59740398928597,2214505.1948079783,2212670.8051920217
2025-02-28 14:40:00,2213505,2213510,2212525,2212790,2213603.5,423.03757453922196,2214449.5751490784,2212757.4248509216
2025-02-28 14:41:00,2212755,2212930,2212495,2212630,2213570.25,471.8760848697722,2214514.0021697395,2212626.4978302605
2025-02-28 14:42:00,2212660,2213280,2212585,2213170,2213540.75,477.79448070045436,2214496.338961401,2212585.161038599
2025-02-28 14:43:00,2213170,2215995,2213170,2215985,2213645.25,724.3117876907929,2215093.8735753815,2212196.6264246185
2025-02-28 14:44:00,2215935,2216340,2215380,2216245,2213766.75,929.1355277599301,2215625.02105552,2211908.47894448
2025-02-28 14:45:00,2216115,2217330,2216055,2217330,2213944.75,1224.0060145614254,2216392.762029123,2211496.737970877
2025-02-28 14:46:00,2217230,2219875,2217230,2219875,2214246.5,1803.5265891838249,2217853.5531783677,2210639.4468216323
2025-02-28 14:47:00,2219765,2219800,2218255,2218700,2214464.75,2060.590407855386,2218585.9308157107,2210343.5691842893
2025-02-28 14:48:00,2218625,2218625,2216550,2216880,2214610.25,2125.5324255591922,2218861.3148511183,2210359.1851488817
2025-02-28 14:49:00,2216790,2217280,2215730,2215920,2214697.25,2142.536909342055,2218982.323818684,2210412.176181316
2025-02-28 14:50:00,2215800,2216690,2215765,2216525,2214821.25,2174.3304323275293,2219169.910864655,2210472.589135345
2025-02-28 14:51:00,2216765,2217965,2216585,2217295,2214995.5,2228.0047127414896,2219451.509425483,2210539.490574517
2025-02-28 14:52:00,2217145,2217180,2216310,2216645,2215136.25,2239.3883534051606,2219615.02670681,2210657.47329319
2025-02-28 14:53:00,2216550,2217085,2215925,2216005,2215275.75,2199.960092340995,2219675.670184682,2210875.829815318
2025-02-28 14:54:00,2215965,2216285,2215730,2216225,2215419.5,2161.0906724927404,2219741.6813449855,2211097.3186550145
2025-02-28 14:55:00,2216230,2217350,2216230,2217285,2215613.0,2145.364280194654,2219903.7285603895,2211322.2714396105
2025-02-28 14:56:00,2217015,2217290,2216335,2216395,2215783.75,2058.9329601054983,2219901.615920211,2211665.884079789
2025-02-28 14:57:00,2216330,2216465,2215810,2216250,2215936.25,1968.4537579955233,2219873.157515991,2211999.342484009
