DateTime,open,high,low,close,actual,mid,SD,lower,upper
2025-04-08 09:16:00,2247335,2257310,2247155,2254865,2254.865,2218.2499977897182,4.236986615577563,2211.894517866352,2224.6054777130844
2025-04-08 09:17:00,2255050,2255050,2252080,2253520,2253.52,2221.550605103797,20.756544215312672,2190.415788780828,2252.685421426766
2025-04-08 09:18:00,2253435,2254745,2253205,2254230,2254.23,2224.287605856744,21.422823278020857,2192.1533709397127,2256.4218407737753
2025-04-08 09:19:00,2254170,2254260,2250680,2251085,2251.085,2226.8691151380585,20.686883522565196,2195.8387898542105,2257.8994404219065
2025-04-08 09:20:00,2251095,2252530,2250460,2252435,2252.435,2228.93816790863,17.887326401001452,2202.107178307128,2255.769157510132
2025-04-08 09:21:00,2252505,2254290,2252505,2254070,2254.07,2230.9679791374374,16.592703093176965,2206.078924497672,2255.857033777203
2025-04-08 09:22:00,2254265,2255525,2251865,2253410,2253.41,2232.963911924684,15.985296822937554,2208.9859666902776,2256.9418571590904
2025-04-08 09:23:00,2253410,2253830,2250480,2250665,2250.665,2234.7202218869184,14.583652063083239,2212.8447437922937,2256.595699981543
2025-04-08 09:24:00,2250715,2252350,2250080,2250910,2250.91,2236.079695761511,12.139451718015223,2217.8705181844884,2254.288873338534
2025-04-08 09:25:00,2250935,2251515,2249500,2251515,2251.515,2237.358107002139,10.773730872113495,2221.197510693969,2253.5187033103093
2025-04-08 09:26:00,2251745,2253215,2251160,2253180,2253.18,2238.579453011679,10.00510076593754,2223.5718018627726,2253.5871041605856
2025-04-08 09:27:00,2253785,2254050,2252065,2253700,2253.7,2239.8440208446477,9.957527723011824,2224.90772926013,2254.7803124291654
2025-04-08 09:28:00,2253880,2254150,2252185,2253500,2253.5,2241.0387274526183,9.59894479347662,2226.6403102624035,2255.437144642833
2025-04-08 09:29:00,2253315,2254360,2252380,2254245,2254.245,2242.1102532281466,8.849474996095646,2228.8360407340033,2255.38446572229
2025-04-08 09:30:00,2254440,2254975,2254090,2254515,2254.515,2243.158380843509,8.452491977558859,2230.4796428771706,2255.837118809847
2025-04-08 09:31:00,2254515,2255000,2252815,2253905,2253.905,2244.136990613455,7.968894915478176,2232.1836482402377,2256.0903329866724
2025-04-08 09:32:00,2253865,2254605,2253750,2254070,2254.07,2244.974781814428,7.098137280372195,2234.3275758938694,2255.6219877349863
2025-04-08 09:33:00,2254205,2254620,2253460,2254620,2254.62,2245.7586075406057,6.500691542488379,2236.007570226873,2255.509644854338
2025-04-08 09:34:00,2254575,2254760,2253020,2253020,2253.02,2246.5239337004687,6.195799991146299,2237.2302337137494,2255.817633687188
2025-04-08 09:35:00,2253055,2253160,2251890,2251890,2251.89,2247.0752616035634,5.065956519988988,2239.4763268235797,2254.674196383547
2025-04-08 09:36:00,2251745,2251745,2249655,2251345,2251.345,2247.484704003456,3.9570111702390642,2241.5491872480975,2253.4202207588146
2025-04-08 09:37:00,2251610,2252150,2249465,2249525,2249.525,2247.814641235081,3.147235953506145,2243.093787304822,2252.5354951653403
2025-04-08 09:38:00,2249425,2249425,2246995,2247135,2247.135,2247.9532599580007,2.0761308259601403,2244.8390637190605,2251.067456196941
2025-04-08 09:39:00,2247120,2247325,2246470,2246470,2246.47,2247.8718435956857,1.3586994811898845,2245.833794373901,2249.9098928174703
2025-04-08 09:40:00,2246365,2249205,2246305,2248075,2248.075,2247.7486027267123,1.2191177986644373,2245.9199260287155,2249.577279424709
2025-04-08 09:41:00,2248125,2248790,2246910,2247030,2247.03,2247.784539642893,0.8857971608274355,2246.455843901652,2249.113235384134
2025-04-08 09:42:00,2247010,2247160,2245520,2246625,2246.625,2247.714143291291,0.8437760496827111,2246.448479216767,2248.979807365815
2025-04-08 09:43:00,2246600,2247510,2246045,2246100,2246.1,2247.618756673569,0.9406210136975423,2246.2078251530224,2249.0296881941154
2025-04-08 09:44:00,2246150,2246590,2245400,2246495,2246.495,2247.485603266921,1.1375047488519288,2245.779346143643,2249.1918603901986
2025-04-08 09:45:00,2246500,2248560,2246500,2247930,2247.93,2247.4023673788433,1.0008826644571704,2245.9010433821577,2248.903691375529
2025-04-08 09:46:00,2247905,2252140,2247765,2251915,2251.915,2247.4545533466007,0.8292354203589449,2246.2107002160624,2248.698406477139
2025-04-08 09:47:00,2251815,2252055,2250385,2250680,2250.68,2247.857222421931,2.6090759878773544,2243.943608440115,2251.770836403747
2025-04-08 09:48:00,2250825,2250900,2247115,2247680,2247.68,2248.09322389309,2.2226344373078746,2244.7592722371282,2251.4271755490518
2025-04-08 09:49:00,2247650,2247650,2246630,2247095,2247.095,2248.0436539441484,1.3729073974545432,2245.9842928479666,2250.1030150403303
2025-04-08 09:50:00,2247170,2249640,2247170,2247580,2247.58,2247.959973083755,1.0773811819361558,2246.3439013108505,2249.5760448566593
2025-04-08 09:51:00,2247360,2247435,2246315,2246315,2246.315,2247.9297063311415,0.8335835163105958,2246.6793310566754,2249.1800816056075
2025-04-08 09:52:00,2246375,2246375,2244600,2245900,2245.9,2247.7845172454518,1.1531853181896132,2246.0547392681674,2249.514295222736
2025-04-08 09:53:00,2246250,2246300,2245220,2245700,2245.7,2247.620663146047,1.3518945218452214,2245.592821363279,2249.6485049288144
2025-04-08 09:54:00,2245670,2245670,2244645,2244725,2244.725,2247.454475041239,1.423675093957165,2245.3189624003035,2249.589987682175
2025-04-08 09:55:00,2244665,2244970,2243490,2244715,2244.715,2247.214907955714,1.8114239633013487,2244.4977720107618,2249.932043900666
2025-04-08 09:56:00,2244730,2244730,2243910,2244500,2244.5,2246.9999391919887,1.8146490102659905,2244.2779656765897,2249.7219127073877
2025-04-08 09:57:00,2244455,2244455,2243285,2243575,2243.575,2246.7837147796886,1.8156698105457645,2244.06021006387,2249.5072194955073
2025-04-08 09:58:00,2243630,2243630,2240095,2240395,2240.395,2246.503146902525,2.140159947059884,2243.292906981935,2249.7133868231144
2025-04-08 09:59:00,2240430,2242040,2239370,2241550,2241.55,2245.9623806850213,3.680197904151066,2240.4420838287947,2251.482677541248
2025-04-08 10:00:00,2241160,2241505,2240165,2241275,2241.275,2245.5889631715318,3.269821174557683,2240.6842314096953,2250.4936949333683
2025-04-08 10:01:00,2241430,2242550,2240975,2240975,2240.975,2245.2159658043565,3.0867087515427807,2240.585902677042,2249.846028931671
2025-04-08 10:02:00,2240790,2240955,2238380,2239740,2239.74,2244.849580410339,2.994312868490363,2240.3581111076037,2249.3410497130744
2025-04-08 10:03:00,2239770,2240690,2238990,2240360,2240.36,2244.403926055657,3.3711412704800545,2239.347214149937,2249.460637961377
2025-04-08 10:04:00,2240255,2240895,2239985,2240590,2240.59,2244.0591464078166,3.003795707784367,2239.55345284614,2248.5648399694933
2025-04-08 10:05:00,2240610,2240690,2238875,2239025,2239.025,2243.7614601590744,2.6309412281282554,2239.815048316882,2247.707872001267
2025-04-08 10:06:00,2238755,2239510,2238030,2238665,2238.665,2243.346212860106,3.0920970037916553,2238.7080673544183,2247.9843583657935
2025-04-08 10:07:00,2238545,2239600,2238000,2238245,2238.245,2242.941973427673,3.1970808526352523,2238.1463521487203,2247.7375947066257
2025-04-08 10:08:00,2238045,2240510,2237850,2240510,2240.51,2242.53574117221,3.2364505438105273,2237.681065356494,2247.3904169879256
2025-04-08 10:09:00,2240635,2240960,2239845,2239845,2239.845,2242.3723489746694,2.2049623209241953,2239.0649054932833,2245.6797924560556
2025-04-08 10:10:00,2239815,2239815,2239180,2239225,2239.225,2242.151006966245,1.9572603409166176,2239.21511645487,2245.08689747762
2025-04-08 10:11:00,2239130,2240720,2238935,2240720,2240.72,2241.896389781121,2.0488037476238277,2238.8231841596853,2244.9695954025565
2025-04-08 10:12:00,2241060,2242880,2241060,2242195,2242.195,2241.8024574530255,1.427318739652867,2239.661479343546,2243.943435562505
2025-04-08 10:13:00,2242400,2242735,2241740,2242730,2242.73,2241.842912376611,0.9858916364241614,2240.364074921975,2243.321749831247
2025-04-08 10:14:00,2242675,2243240,2241895,2241980,2241.98,2241.9214628552095,0.916243573282089,2240.5470974952864,2243.2958282151326
2025-04-08 10:15:00,2242060,2242085,2238235,2238395,2238.395,2241.922781574395,0.74144695220264,2240.8106111460907,2243.034952002699
2025-04-08 10:16:00,2238455,2240300,2238260,2238655,2238.655,2241.6021400301984,2.098262467639278,2238.4547463287395,2244.7495337316573
2025-04-08 10:17:00,2238565,2239875,2238030,2238690,2238.69,2241.3506598506374,2.1013633440824613,2238.1986148345136,2244.502704866761
2025-04-08 10:18:00,2238665,2239100,2237405,2237420,2237.42,2241.1216900827276,1.97752265896754,2238.1554060942763,2244.087974071179
2025-04-08 10:19:00,2237355,2238980,2237005,2238920,2238.92,2240.7969739894083,2.4190935203372383,2237.1683337089025,2244.425614269914
2025-04-08 10:20:00,2239070,2239275,2237890,2238565,2238.565,2240.642948794767,1.7979239047187903,2237.946062937689,2243.339834651845
2025-04-08 10:21:00,2238260,2239100,2237800,2238940,2238.94,2240.4619673328293,1.632621996004624,2238.0130343388223,2242.9109003268363
2025-04-08 10:22:00,2238920,2239715,2238285,2239500,2239.5,2240.332881575671,1.3615290559268285,2238.2905879917807,2242.375175159561
2025-04-08 10:23:00,2239490,2240915,2239270,2240470,2240.47,2240.26377090708,1.0419445702722194,2238.7008540516717,2241.8266877624883
2025-04-08 10:24:00,2240385,2240825,2239300,2239840,2239.84,2240.2860310850956,0.799436092191428,2239.0868769468084,2241.485185223383
