DateTime,open,high,low,close,rolling_avg_15,rolling_sd_15,rolling_avg_20,rolling_sd_20
2025-03-21 11:14:00,2332590,2333235,2332235,2333235,2334166.67,871.05,2334111.0,788.09
2025-03-21 11:15:00,2333165,2333615,2333015,2333115,2334113.0,911.2,2334035.5,808.33
2025-03-21 11:16:00,2333115,2333155,2332650,2332770,2333987.67,960.05,2333965.75,855.38
2025-03-21 11:17:00,2332805,2333620,2332710,2333545,2333896.33,930.23,2333942.5,860.42
2025-03-21 11:18:00,2333570,2333690,2333210,2333690,2333835.33,910.23,2333951.0,856.86
2025-03-21 11:19:00,2333690,2334585,2333475,2334240,2333827.0,905.59,2333993.0,848.98
2025-03-21 11:20:00,2334300,2334445,2334000,2334360,2333808.33,890.39,2334015.0,852.68
2025-03-21 11:21:00,2334385,2335280,2334330,2335200,2333838.0,930.69,2334042.5,882.59
2025-03-21 11:22:00,2335240,2335575,2335180,2335360,2333852.0,953.14,2334064.75,910.9
2025-03-21 11:23:00,2335440,2336205,2335365,2336040,2333913.0,1063.34,2334136.5,1007.12
2025-03-21 11:24:00,2335960,2335960,2334580,2334580,2333893.0,1046.54,2334147.25,1010.83
2025-03-21 11:25:00,2334600,2334600,2334150,2334260,2333921.33,1050.61,2334128.25,1004.63
2025-03-21 11:26:00,2334355,2334370,2334010,2334055,2333992.33,1018.67,2334093.25,993.78
2025-03-21 11:27:00,2334075,2334290,2333915,2334045,2334085.33,948.64,2334038.0,962.16
2025-03-21 11:28:00,2334075,2334535,2334000,2334305,2334186.67,878.4,2333997.0,930.34
2025-03-21 11:29:00,2334310,2335240,2334300,2335010,2334305.0,860.42,2334003.5,937.27
2025-03-21 11:30:00,2334985,2335240,2334770,2334970,2334428.67,808.93,2334060.25,960.6
2025-03-21 11:31:00,2334850,2335140,2334785,2334875,2334569.0,671.56,2334154.5,942.36
2025-03-21 11:32:00,2334890,2335170,2334765,2335170,2334677.33,623.95,2334280.5,898.04
2025-03-21 11:33:00,2335100,2336045,2335100,2335805,2334818.33,623.87,2334431.5,887.18
2025-03-21 11:34:00,2335830,2337065,2335825,2336885,2334994.67,798.18,2334614.0,996.75
2025-03-21 11:35:00,2336785,2336805,2336210,2336210,2335118.0,835.18,2334768.75,992.02
2025-03-21 11:36:00,2336200,2336375,2335950,2336110,2335178.67,873.72,2334935.75,916.06
2025-03-21 11:37:00,2336095,2336140,2335725,2336040,2335224.0,901.02,2335060.5,886.09
2025-03-21 11:38:00,2336010,2336240,2335735,2335830,2335210.0,888.98,2335167.5,839.89
2025-03-21 11:39:00,2335885,2336080,2335740,2335785,2335290.33,882.41,2335244.75,820.93
2025-03-21 11:40:00,2335785,2336210,2335655,2335655,2335383.33,838.48,2335309.5,798.23
2025-03-21 11:41:00,2335670,2335670,2335210,2335310,2335467.0,754.91,2335315.0,797.81
2025-03-21 11:42:00,2335395,2335605,2334840,2334940,2335526.67,664.44,2335294.0,802.08
2025-03-21 11:43:00,2334805,2334945,2333665,2333690,2335485.67,757.65,2335176.5,857.28
2025-03-21 11:44:00,2333665,2333665,2333065,2333530,2335387.0,905.89,2335124.0,925.19
2025-03-21 11:45:00,2333525,2333895,2333335,2333625,2335297.33,1010.62,2335092.25,966.38
2025-03-21 11:46:00,2333405,2333560,2333155,2333420,2335200.33,1118.16,2335060.5,1011.62
2025-03-21 11:47:00,2333430,2333905,2333220,2333385,2335081.33,1212.61,2335027.5,1056.27
2025-03-21 11:48:00,2333295,2334380,2333215,2334210,2334975.0,1214.55,2335022.75,1059.9
2025-03-21 11:49:00,2334230,2334820,2333705,2333780,2334768.0,1127.23,2334961.25,1095.76
2025-03-21 11:50:00,2333835,2334390,2333750,2334000,2334620.67,1068.17,2334912.75,1116.62
2025-03-21 11:51:00,2333995,2334325,2333910,2334325,2334501.67,986.73,2334885.25,1124.34
2025-03-21 11:52:00,2334210,2334685,2334210,2334525,2334400.67,890.9,2334853.0,1125.0
2025-03-21 11:53:00,2334500,2334530,2333895,2334005,2334279.0,801.93,2334763.0,1116.8
2025-03-21 11:54:00,2334030,2334480,2333980,2334320,2334181.33,686.29,2334634.75,1001.63
2025-03-21 11:55:00,2334330,2334950,2334190,2334775,2334122.67,580.83,2334563.0,931.81
2025-03-21 11:56:00,2334760,2335015,2334760,2334790,2334088.0,516.9,2334497.0,860.49
2025-03-21 11:57:00,2334750,2335515,2334665,2335490,2334124.67,595.23,2334469.5,816.23
2025-03-21 11:58:00,2335455,2335485,2335000,2335090,2334218.0,630.89,2334432.5,766.58
2025-03-21 11:59:00,2334815,2335015,2334485,2334935,2334311.67,625.73,2334390.0,709.05
2025-03-21 12:00:00,2334935,2335255,2334495,2334550,2334373.33,598.2,2334334.75,645.5
2025-03-21 12:01:00,2334540,2335405,2334510,2335405,2334505.67,591.76,2334339.5,653.35
2025-03-21 12:02:00,2335420,2335660,2335020,2335140,2334622.67,523.98,2334349.5,664.46
2025-03-21 12:03:00,2335085,2335610,2335085,2335535,2334711.0,559.9,2334441.75,695.43
2025-03-21 12:04:00,2335505,2336290,2335505,2336175,2334870.67,614.29,2334574.0,761.3
2025-03-21 12:05:00,2336130,2336230,2335850,2335965,2335001.67,624.78,2334691.0,787.15
2025-03-21 12:06:00,2335940,2335995,2335685,2335785,2335099.0,625.56,2334809.25,763.45
2025-03-21 12:07:00,2335760,2336040,2335575,2335845,2335187.0,631.86,2334932.25,718.77
2025-03-21 12:08:00,2335895,2336075,2335525,2335525,2335288.33,544.62,2334998.0,709.31
2025-03-21 12:09:00,2335510,2336315,2335465,2336230,2335415.67,524.98,2335120.5,699.38
2025-03-21 12:10:00,2336255,2336490,2335930,2336020,2335498.67,514.77,2335221.5,674.46
2025-03-21 12:11:00,2336020,2336440,2335975,2336385,2335605.0,522.61,2335324.5,687.51
2025-03-21 12:12:00,2336345,2336655,2336240,2336580,2335677.67,578.29,2335427.25,714.76
2025-03-21 12:13:00,2336485,2336890,2336070,2336070,2335743.0,562.29,2335530.5,644.16
2025-03-21 12:14:00,2335965,2336125,2335660,2335660,2335791.33,517.23,2335597.5,577.91
2025-03-21 12:15:00,2335660,2335945,2335600,2335650,2335864.67,391.31,2335641.25,544.52
2025-03-21 12:16:00,2335585,2336070,2335585,2336070,2335909.0,372.75,2335705.25,513.54
2025-03-21 12:17:00,2335915,2336000,2335745,2335980,2335965.0,306.1,2335729.75,514.42
2025-03-21 12:18:00,2335970,2336145,2335160,2335160,2335940.0,355.12,2335733.25,510.06
2025-03-21 12:19:00,2335140,2335455,2335080,2335275,2335880.0,387.16,2335750.25,487.21
2025-03-21 12:20:00,2335220,2335845,2335220,2335845,2335872.0,386.52,2335815.0,397.0
2025-03-21 12:21:00,2335820,2336365,2335710,2336190,2335899.0,394.08,2335854.25,393.12
2025-03-21 12:22:00,2336245,2338565,2336190,2338495,2336075.67,776.55,2336022.0,681.98
2025-03-21 12:23:00,2338435,2338850,2338180,2338625,2336282.33,999.91,2336176.5,885.49
2025-03-21 12:24:00,2338570,2338950,2338250,2338305,2336420.67,1127.54,2336283.0,1005.29
2025-03-21 12:25:00,2338415,2338495,2337730,2337830,2336541.33,1177.35,2336376.25,1059.29
2025-03-21 12:26:00,2337770,2337965,2337420,2337965,2336646.67,1231.79,2336485.25,1106.36
2025-03-21 12:27:00,2337990,2339025,2337990,2338705,2336788.33,1340.93,2336628.25,1200.11
2025-03-21 12:28:00,2338675,2338855,2338400,2338630,2336959.0,1404.39,2336783.5,1249.69
2025-03-21 12:29:00,2338450,2338605,2337705,2337790,2337101.0,1370.95,2336861.5,1261.95
2025-03-21 12:30:00,2337810,2337910,2336985,2337445,2337220.67,1312.33,2336932.75,1252.13
2025-03-21 12:31:00,2337335,2337790,2337010,2337280,2337301.33,1273.16,2336977.5,1247.51
2025-03-21 12:32:00,2337315,2338065,2337165,2337835,2337425.0,1224.82,2337040.25,1257.98
2025-03-21 12:33:00,2337830,2337885,2337050,2337455,2337578.0,1052.95,2337109.5,1239.75
