,arima_forecast,garch_forecast
312,-2.301197908921902e+66,8.625034983633226e+65
313,-3.7222693506325654e+66,1.3951300426286447e+66
314,-6.020902880600001e+66,2.2566723955768855e+66
315,-9.739024257193216e+66,3.650247751359088e+66
316,-1.5753217642458623e+67,5.90440538574316e+66
317,-2.548138905264318e+67,9.550585421554672e+66
318,-4.121705182959857e+67,1.544841113292427e+67
319,-6.667004526378417e+67,2.4988353697485675e+67
320,-1.078411661719843e+68,4.0419549631214946e+67
321,-1.7443691653905188e+68,6.538005713256072e+67
322,-2.8215790807682313e+68,1.0575456455249021e+68
323,-4.564004378767247e+68,1.7106176430850695e+68
324,-7.382439184988282e+68,2.766984794667205e+68
325,-1.1941357587998458e+69,4.475696181942612e+68
326,-1.9315570026558192e+69,7.23959754013212e+68
327,-3.1243620560014453e+69,1.1710306154055893e+69
328,-5.053766595321643e+69,1.8941836125771258e+69
329,-8.17464696542746e+69,3.063909270137265e+69
330,-1.322278181015191e+70,4.955982067050446e+69
331,-2.1388319218962332e+70,8.016477017880243e+69
332,-3.4596365997736896e+70,1.2966936302182549e+70
333,-5.59608507800939e+70,2.0974480022811865e+70
334,-9.051866373008047e+70,3.392696639940205e+70
335,-1.4641715358612775e+71,5.4878073154342065e+70
336,-2.3683494630665454e+71,8.876723246279979e+70
337,-3.8308893745213635e+71,1.435841513047235e+71
338,-6.196599627159131e+71,2.322524644951342e+71
339,-1.0023219985073613e+72,3.7567661036339653e+71
340,-1.6212914326246028e+72,6.076702603820509e+71
341,-2.622496476597717e+72,9.829282291372807e+71
342,-4.241981195591667e+72,1.5899213218489906e+72
343,-6.86155524872173e+72,2.571754208228146e+72
344,-1.1098809320557096e+73,4.1599037742619594e+72
345,-1.7952718278707073e+73,6.7287921045306e+72
346,-2.903915945268672e+73,1.0884060219404046e+73
347,-4.697187181501829e+73,1.760535398022638e+73
348,-7.597867098740616e+73,2.8477285362359384e+73
349,-1.2289819889968263e+74,4.606302051751306e+73
350,-1.987922017652758e+74,7.45085717335044e+73
351,-3.215534469707202e+74,1.2052026114214748e+74
352,-5.201241212713036e+74,1.9494580298389861e+74
353,-8.413192396997674e+74,3.1533176032711533e+74
354,-1.3608637518270132e+75,5.100603221460992e+74
355,-2.2012454531499603e+75,8.250406871730876e+74
356,-3.5605927033533844e+75,1.334532614940525e+75
357,-5.7593851612647404e+75,2.1586539040181418e+75
358,-9.316010057695259e+75,3.491699359884459e+75
359,-1.5068977150335415e+76,5.647947731279797e+75
360,-2.4374605754076225e+76,9.135756056708204e+75
361,-3.942679053391633e+76,1.4777409901555258e+76
362,-6.377423403229224e+76,2.390298537341497e+76
363,-1.0315708865287607e+77,3.8663927817388175e+76
364,-1.6686025478485624e+77,6.254027649328015e+76
365,-2.699023885848186e+77,1.011611185063542e+77
366,-4.3657669981217023e+77,1.6363170218085328e+77
367,-7.061783180884624e+77,2.646800900775097e+77
368,-1.1422685112439615e+78,4.2812944649326e+77
369,-1.8476598875357253e+78,6.925145858192375e+77
370,-2.9886554924732685e+78,1.120166938995961e+78
371,-4.8342564088478265e+78,1.8119098094305067e+78
372,-7.81958144233826e+78,2.9308284713822756e+78
