open,high,low,close,close_diff,close_diff_percent
2364130,2364425,2363570,2363940,-225.0,-0.9517102232714514
2363980,2364770,2363810,2364730,790.0,3.3418783894689774
2364750,2365115,2364365,2364870,140.0,0.5920337628406713
2364915,2364940,2364285,2364595,-275.0,-1.162854617801079
2364705,2365115,2364075,2364265,-330.0,-1.3955878279370282
2364340,2364340,2363760,2363765,-500.0,-2.1148221540312484
2363870,2364260,2363355,2363925,160.0,0.676886238690777
2364190,2364855,2363820,2364605,680.0,2.8765718032519594
2364720,2365365,2364420,2365115,510.0,2.1568084310064073
2365210,2365210,2363985,2364585,-530.0,-2.2409058333316967
2364560,2364710,2364065,2364395,-190.0,-0.8035236627146336
2364495,2365175,2364290,2364815,420.0,1.776352935951575
2364990,2365235,2364495,2364960,145.0,0.6131557859712089
2365055,2365330,2364660,2365100,140.0,0.5919761856443273
2365120,2365120,2363905,2364250,-850.0,-3.5939283751218465
2364360,2364695,2363810,2364495,245.0,1.0362694300525277
2364565,2364935,2364250,2364600,105.0,0.44406945246322493
2364720,2364780,2364070,2364495,-105.0,-0.44404973357003996
2364550,2365900,2364355,2365440,945.0,3.996625072162363
2365515,2366930,2365065,2366740,1300.0,5.495806277056037
2366835,2367400,2366625,2366940,200.0,0.845044238066972
2367045,2367685,2366590,2367170,230.0,0.9717187592417353
2367270,2367960,2367005,2367700,530.0,2.2389604464412294
2367855,2368885,2367650,2368695,995.0,4.202390505554376
2368715,2368940,2368155,2368550,-145.0,-0.6121514167078956
2368525,2368815,2368090,2368710,160.0,0.6755187773110904
2368850,2368875,2367630,2367885,-825.0,-3.482908418506181
2367995,2368450,2367735,2368135,250.0,1.055794517048625
2368205,2368535,2367690,2368365,230.0,0.9712284139196115
2368520,2368600,2367960,2368325,-40.0,-0.1688928860210659
2368380,2368395,2367665,2368040,-285.0,-1.2033821371648656
2367930,2368380,2367410,2367740,-300.0,-1.266870492052652
2367725,2367805,2367070,2367335,-405.0,-1.7104918614374576
2367450,2367450,2365995,2366210,-1125.0,-4.752179138144408
2366245,2366550,2364750,2365010,-1200.0,-5.071401101339745
2365160,2365460,2364700,2364975,-35.0,-0.14799091758610494
2365145,2365170,2364295,2364415,-560.0,-2.367889723993155
2364520,2364540,2362980,2363260,-1155.0,-4.884929253113901
2363320,2363495,2362210,2362895,-365.0,-1.5444766974437307
2362970,2363525,2362540,2363220,325.0,1.3754314093517017
2363225,2364370,2363035,2364085,865.0,3.660260153519612
2364130,2364130,2363160,2363565,-520.0,-2.199582502321329
2363615,2364230,2363360,2363880,315.0,1.3327325459644435
2363925,2364185,2363635,2363915,35.0,0.14806166133585208
2364030,2364255,2363610,2364065,150.0,0.6345405820429306
2364080,2364355,2363670,2363965,-100.0,-0.4230002136151878
2364035,2364035,2363085,2363365,-600.0,-2.5381086437403777
2363440,2363645,2363180,2363370,5.0,0.021156275056277707
2363425,2363595,2363050,2363335,-35.0,-0.14809361208789618
2363275,2363395,2362365,2363090,-245.0,-1.036670637044601
2363280,2363380,2362705,2363100,10.0,0.04231747415373022
2363005,2363465,2362570,2363260,160.0,0.6770767212560536
2363310,2364130,2363305,2363655,395.0,1.6714199876433078
2363775,2363875,2362845,2363280,-375.0,-1.5865259523917263
2363385,2363500,2362550,2363185,-95.0,-0.40198368369437354
2363350,2365240,2363085,2364750,1565.0,6.622418473374303
2364790,2365375,2364345,2364405,-345.0,-1.4589280050747444
2364490,2364490,2362765,2363165,-1240.0,-5.244448391878986
2363160,2363580,2362865,2363400,235.0,0.9944290813379553
2363530,2363880,2362490,2363635,235.0,0.9943302022508149
2363795,2364965,2363420,2364845,1210.0,5.119233722634675
2364925,2365425,2364265,2365240,395.0,1.6702997448025947
2365360,2365815,2364990,2365120,-120.0,-0.5073480915251949
2365230,2365320,2364545,2364910,-210.0,-0.8879042078202559
2364975,2365650,2364750,2365430,520.0,2.198815176899238
2365595,2365595,2364925,2365420,-10.0,-0.04227561162251092
2365465,2366445,2365280,2366295,875.0,3.6991316552659192
2366435,2366435,2365130,2365620,-675.0,-2.8525606486085042
2365655,2365655,2364355,2364855,-765.0,-3.2338245364849083
2364830,2365295,2364500,2364795,-60.0,-0.25371534406959384
2364825,2365195,2364110,2364735,-60.0,-0.25372178138027834
2364850,2364850,2364185,2364660,-75.0,-0.31716027377282074
2364745,2365110,2364340,2364860,200.0,0.8457875550815785
2364875,2365385,2364540,2365185,325.0,1.3742885413936534
2365315,2365480,2364675,2365245,60.0,0.2536799446972715
2365385,2366565,2365110,2366410,1165.0,4.925493976311035
2366555,2366555,2363220,2363610,-2800.0,-11.832269133412732
2363710,2363770,2362995,2363530,-80.0,-0.33846531365178123
2363580,2363655,2363160,2363495,-35.0,-0.14808358683837675
2363560,2363980,2363000,2363085,-410.0,-1.7347191341632318
2363160,2363375,2363070,2363070,-15.0,-0.06347634553982573
2363080,2363740,2362565,2363520,450.0,1.9043024540121856
2363555,2364035,2363350,2364010,490.0,2.0731789872741047
2364070,2365210,2364065,2364180,170.0,0.7191170934128799
2364330,2364700,2364030,2364595,415.0,1.7553654967050747
2364635,2364750,2364245,2364750,155.0,0.6555033737276617
2364775,2364775,2364075,2364340,-410.0,-1.7337984987841892
2364355,2365300,2364195,2364900,560.0,2.368525677356459
2364880,2365010,2364060,2364075,-825.0,-3.4885195991374296
2364225,2364985,2364095,2364775,700.0,2.9609889703152703
2364810,2364960,2364610,2364775,0.0,0.0
2364815,2364910,2363760,2363890,-885.0,-3.7424279265474425
2363995,2364510,2363890,2364505,615.0,2.6016439005194236
2364480,2364735,2364410,2364465,-40.0,-0.1691685997706749
2364545,2364830,2364410,2364515,50.0,0.21146432702456863
2364600,2364705,2364355,2364485,-30.0,-0.12687591324223035
2364535,2365800,2364265,2365665,1180.0,4.990515905154425
2365690,2365765,2364800,2364945,-720.0,-3.0435416679874816
2365030,2365030,2364320,2364420,-525.0,-2.2199247762633156
2364480,2364685,2364240,2364520,100.0,0.4229367032926312
2364540,2364930,2364310,2364930,410.0,1.733967147665716
2364870,2365640,2364650,2365640,710.0,3.0022030250376197
2365575,2366330,2365575,2365765,125.0,0.5283982347270566
2365745,2365980,2365195,2365875,110.0,0.46496587784439214
2365890,2366405,2365505,2365880,5.0,0.021133829979369523
2366275,2366940,2365185,2366880,1000.0,4.226757062910647
2364890,2367845,2364645,2364955,-1925.0,-8.133069695126505
2364980,2364980,2360720,2364410,-545.0,-2.3044835948249354
2364290,2366665,2364290,2365590,1180.0,4.9906742062511
2365680,2367235,2365420,2367220,1630.0,6.8904586170881466
2367170,2368260,2366140,2367565,345.0,1.4574057333072155
2367310,2367875,2366085,2366085,-1480.0,-6.2511483317251315
2366095,2366160,2363430,2363555,-2530.0,-10.692768856570556
2363480,2365350,2363470,2365145,1590.0,6.727154646284372
2365195,2365260,2363790,2364175,-970.0,-4.101228465908102
2364000,2364000,2362735,2362965,-1210.0,-5.118064441084202
2362990,2363780,2362540,2363515,550.0,2.3275842003589453
2363310,2364015,2363195,2363375,-140.0,-0.5923381065908728
2363295,2364405,2363220,2363235,-140.0,-0.5923731951129607
2363280,2363530,2362645,2363440,205.0,0.8674549928389119
2363515,2364355,2363515,2364085,645.0,2.7290728768236683
2364075,2364995,2363635,2364520,435.0,1.840035362519199
2364515,2365005,2364255,2364560,40.0,0.16916752660245393
2364455,2364455,2361230,2361375,-3185.0,-13.469736441452662
2361335,2362305,2361150,2361820,445.0,1.8844952622942834
2361875,2362295,2361055,2361700,-120.0,-0.5080827497438989
2361755,2362045,2361435,2361535,-165.0,-0.6986492780625131
2361445,2362225,2361445,2362205,670.0,2.8371377091596095
2362105,2362915,2361330,2361855,-350.0,-1.4816664938055446
2361890,2362410,2361725,2362295,440.0,1.8629424752991675
2362355,2363370,2362185,2362900,605.0,2.561068791153698
2362865,2363165,2361800,2362135,-765.0,-3.2375470819756558
2362070,2362475,2361720,2362430,295.0,1.248870195817986
2362570,2363250,2360280,2360325,-2105.0,-8.910316919442662
2360495,2360855,2359875,2360260,-65.0,-0.27538580492092457
2360360,2361060,2360075,2361060,800.0,3.389457093709858
2360935,2360935,2359090,2359400,-1660.0,-7.030740430146176
2359385,2359430,2357655,2357970,-1430.0,-6.060862931254185
2357970,2358230,2357330,2358045,75.0,0.31807020445473455
2357990,2358440,2356585,2357600,-445.0,-1.8871565216105335
2357635,2357660,2356660,2357065,-535.0,-2.269256871394454
2357145,2357740,2356455,2357350,285.0,1.2091308470485451
2357150,2358085,2356900,2357630,280.0,1.1877744077026797
2357640,2357885,2357020,2357130,-500.0,-2.120773827953837
2357180,2357415,2356890,2357220,90.0,0.38182026447453055
2357270,2357885,2356860,2356870,-350.0,-1.4847998913980476
2356870,2357715,2356300,2357480,610.0,2.58817838913572
2357380,2358945,2357365,2358255,775.0,3.2874085888323634
2358370,2359310,2357975,2359070,815.0,3.4559451798044094
2359015,2359840,2358845,2359670,600.0,2.5433751435954832
2359560,2359785,2358805,2359205,-465.0,-1.9706145350828486
2359170,2360665,2357980,2360635,1430.0,6.061363891649574
2360500,2360550,2359860,2360190,-445.0,-1.885086004401737
2360170,2360210,2359125,2359880,-310.0,-1.3134535778902556
2359800,2359800,2358580,2358725,-1155.0,-4.894316660168929
2358690,2358690,2357675,2357880,-845.0,-3.582443905075783
2357840,2358450,2357655,2358415,535.0,2.2689873954573336
2358350,2359635,2358225,2359145,730.0,3.0952991733856905
2359010,2359635,2358670,2359135,-10.0,-0.04238823811175685
2359395,2359730,2359065,2359565,430.0,1.8227019649152965
2359450,2360430,2359335,2359720,155.0,0.656900742297406
2359720,2360325,2359585,2360325,605.0,2.563863509230657
2360265,2361820,2359905,2361790,1465.0,6.206772372447933
2361735,2364825,2361395,2363555,1765.0,7.473145368555034
2363690,2364820,2363630,2363680,125.0,0.528864358984027
2363790,2363830,2362455,2362960,-720.0,-3.0460976105051163
2362995,2362995,2361810,2361840,-1120.0,-4.7398178555713155
2361960,2363035,2361675,2363035,1195.0,5.059614537819002
2363330,2363390,2362025,2362075,-960.0,-4.06257207362537
2362235,2363095,2361835,2363040,965.0,4.085391022723428
2363035,2363740,2362440,2363115,75.0,0.3173877716844409
2363025,2363145,2362175,2362820,-295.0,-1.2483522807815728
2362820,2364005,2362740,2363580,760.0,3.21649554346104
2363320,2363700,2362640,2362840,-740.0,-3.130843889354029
2362810,2363260,2361630,2362690,-150.0,-0.6348292732472061
2362635,2363145,2362215,2363090,400.0,1.6929855376712766
2363150,2364295,2363005,2364055,965.0,4.083636255918233
2364065,2364255,2363375,2363500,-555.0,-2.347661116175459
2363410,2364385,2363245,2364110,610.0,2.5809181298930284
2364085,2364350,2363570,2364350,240.0,1.0151811886927042
2364400,2365515,2364145,2365325,975.0,4.123754943219371
2365175,2365540,2364855,2365500,175.0,0.7398560451532532
2365540,2365935,2365165,2365645,145.0,0.6129782287045416
2365615,2365615,2364535,2364770,-875.0,-3.6987798253751425
2364740,2365105,2364560,2364895,125.0,0.5285926326870083
2364870,2364870,2364440,2364800,-95.0,-0.40170916679183044
2364780,2365240,2364650,2364670,-130.0,-0.5497293640055467
2364650,2364685,2363875,2364055,-615.0,-2.6007857333154583
2364035,2364895,2363955,2364735,680.0,2.8764136198189405
2364785,2365105,2364560,2365105,370.0,1.5646573506122863
2365075,2367655,2365045,2366265,1160.0,4.904644825494131
2366345,2366980,2366070,2366340,75.0,0.31695520155139434
2366260,2366285,2365780,2366240,-100.0,-0.4225935410806514
2366225,2366305,2365355,2365560,-680.0,-2.873757522482423
2365480,2366085,2365480,2365635,75.0,0.31704966265921897
2365615,2365860,2365265,2365660,25.0,0.10567987031029347
2365555,2366050,2365500,2365810,150.0,0.6340725209885711
2365830,2366255,2365765,2366100,290.0,1.2257958162331661
2366085,2367490,2365980,2367370,1270.0,5.367482354929898
